,Number,Name,Position,Age,Height,Weight,Experience,College
23,87,Brent Celek,TE,33,6-4,255,12,Cincinnati
24,86,Zach Ertz,TE,27,6-5,250,6,Stanford
25,81,Joshua Perkins,TE,24,6-3,223,2,Washington
26,62,Jason Kelce,C,30,6-3,295,8,Cincinnati
27,79,Brandon Brooks,G,28,6-5,335,7,Miami (OH)
28,79,Darrell Greene,G,25,6-3,321,1,San Diego State
29,73,Isaac Seumalo,G,24,6-4,303,3,Oregon State
30,67,Chance Warmack,G,26,6-2,323,6,Alabama
31,61,Stefen Wisniewski,G,28,6-3,305,8,Penn State
32,66,Will Beatty,OT,32,6-6,319,10,Connecticut
33,65,Lane Johnson,OT,27,6-6,317,6,Oklahoma
34,71,Jason Peters,OT,36,6-4,328,15,Arkansas
35,72,Halapoulivaati Vaitai,OT,24,6-6,320,3,TCU
38,96,Derek Barnett,DE,21,6-3,259,2,Tennessee
39,50,Bryan Braman,DE,30,6-5,241,7,West Texas A&M
40,75,Vinny Curry,DE,29,6-3,279,7,Marshall
41,55,Brandon Graham,DE,29,6-2,265,9,Michigan
42,56,Chris Long,DE,32,6-3,270,11,Virginia
43,51,Steven Means,DE,27,6-3,263,4,Buffalo
44,94,Beau Allen,DT,26,6-3,327,5,Wisconsin
45,91,Fletcher Cox,DT,27,6-4,310,7,Mississippi State
46,93,Tim Jernigan,DT,25,6-2,295,5,Florida State
47,98,Elijah Qualls,DT,22,6-1,321,2,Washington
48,70,Aziz Shittu,DT,23,6-2,288,2,Stanford
49,97,Destiny Vaeao,DT,24,6-4,299,3,Washington State
50,53,Nigel Bradham,LB,28,6-2,241,7,Florida State
51,57,Dannell Ellerbe,LB,32,6-1,245,10,Georgia
52,47,Nathan Gerry,LB,22,6-2,218,2,Nebraska
53,52,Najee Goode,LB,28,6-0,244,7,West Virginia
54,54,Kamu Grugier-Hill,LB,23,6-2,220,3,Eastern Illinois
55,58,Jordan Hicks,LB,25,6-1,236,4,Texas
56,95,Mychal Kendricks,LB,27,6-0,240,7,California
57,59,Joe Walker,LB,25,6-2,236,3,Oregon
58,41,Ronald Darby,CB,24,5-11,193,4,Florida State
59,32,Rasul Douglas,CB,23,6-2,209,2,West Virginia
60,22,Sidney Jones,CB,21,6-0,181,1,Washington
61,31,Jalen Mills,CB,23,6-0,191,3,LSU
62,21,Patrick Robinson,CB,30,5-11,191,9,Florida State
63,29,D.J. Killings,DB,22,6-0,185,1,UCF
64,37,Randall Goforth,S,24,5-10,190,2,UCLA
65,24,Corey Graham,S,32,6-0,196,12,New Hampshire
66,27,Malcolm Jenkins,S,30,6-0,204,10,Ohio State
67,42,Chris Maragos,S,31,5-10,200,9,Wisconsin
68,23,Rodney McLeod,S,27,5-10,195,7,Virginia
69,49,Tre Sullivan,S,23,6-0,200,1,Shepherd
70,26,Jaylen Watkins,S,26,5-11,194,4,Florida
